macaddress;datetime;cpu;ram;disco;uptime;bytes_enviados;bytes_recebidos;pacotes_perdidos
80160640191877;2025-11-19 21:16:48.161355;5.4;74.6;26.6;273680.162219;5054.396883010864;6278.147795677185;5267
80160640191877;2025-11-19 21:17:48.193846;6.9;75.0;26.6;273740.194662;5054.634265899658;6278.378783226013;5270
80160640191877;2025-11-19 21:18:48.250731;25.3;76.0;26.6;273800.251515;5058.894930839539;6296.843879699707;5270
80160640191877;2025-11-19 21:19:48.288867;26.7;76.4;26.6;273860.289235;5060.714250564575;6306.979961395264;5270
80160640191877;2025-11-19 21:20:48.319747;28.1;77.2;26.6;273920.320194;5061.1225690841675;6308.790163993835;5270
80160640191877;2025-11-19 21:21:48.358201;8.9;75.7;26.6;273980.359025;5062.846300125122;6322.888006210327;5272
80160640191877;2025-11-19 21:22:48.390618;8.6;74.1;26.6;274040.391445;5062.875608444214;6322.917314529419;5272
80160640191877;2025-11-19 21:23:48.426460;8.9;74.1;26.6;274100.427203;5062.893342971802;6322.935049057007;5272
80160640191877;2025-11-19 21:24:48.457973;8.8;74.2;26.6;274160.458975;5062.920263290405;6322.96196937561;5272
80160640191877;2025-11-19 21:25:48.491078;8.6;74.3;26.6;274220.491736;5062.950746536255;6322.99245262146;5272
80160640191877;2025-11-19 21:26:48.526669;8.3;74.3;26.6;274280.527462;5062.969146728516;6323.010852813721;5272
80160640191877;2025-11-19 21:27:48.560260;11.4;74.7;26.6;274340.561299;5063.044871330261;6323.084717750549;5274
80160640191877;2025-11-19 21:28:48.596344;13.9;74.1;26.6;274400.596779;5064.517729759216;6326.8365659713745;5279
80160640191877;2025-11-19 21:29:48.635042;9.6;74.0;26.6;274460.635966;5064.542603492737;6326.861439704895;5279
80160640191877;2025-11-19 21:30:48.676485;3.9;74.6;26.6;274520.677419;5064.569100379944;6326.887936592102;5279
80160640191877;2025-11-19 21:31:48.708414;2.1;74.0;26.6;274580.709507;5064.597054481506;6326.915890693665;5279
80160640191877;2025-11-19 21:32:48.748406;1.5;74.0;26.6;274640.749322;5064.611939430237;6326.930775642395;5279
80160640191877;2025-11-19 21:33:48.786153;3.8;73.7;26.6;274700.787068;5064.637843132019;6326.956679344177;5279
80160640191877;2025-11-19 21:34:48.817634;9.0;74.1;26.6;274760.818395;5065.427509307861;6327.996692657471;5286
80160640191877;2025-11-19 21:35:48.848473;12.5;74.0;26.6;274820.849321;5065.472681045532;6328.041864395142;5286
80160640191877;2025-11-19 21:36:48.888520;7.2;74.1;26.6;274880.889254;5066.076065063477;6328.645248413086;5286
